ctrl_deseq,ctrl_limma,LPS_deseq,LPS_limma
TXLNB,DLL4,THRB,SLC66A3
LRRC28,TCL1A,VPS26C,NAT8B
ZNF611,CCM2L,MT1B,CD70
GCSIR,HOMER2,ZNF385C,RASSF6
F3,IL6-AS1,CCDC85C,CHST3
SLC22A3,IGHV2-26,LINC01214,MACROD2
HOMER2,IGLON5,GPR173,CA8
IGHV3-33,LINC01644,ANKRD29,IGKV3-15
PDGFA,LINC02909,MT1F,UBE2QL1
GALM,NUP133,FGF13,TMEM219
IGLC3,NEPNP,FUBP1,MAML3
IGFN1,SLC44A3,ZNF226,CLDN14
RPS2P7,WNT10A,LINC01229,KCNK10
ENTHD1,COL1A1,HYDIN,TPST2
SELENOP,IGLV5-45,SLC4A10,MTARC1
ITGB8,CSF3,MAP6,RNF182
