TSPAN32,CHL1
CCDC141,MFNG
HLA-DPA1,TRBC1
RBCK1,PARP12
LINC02316,TSLP
C1orf162,TDRD9
P2RY14,LINC01934
NRROS,CD3G
PPP2R2C,KLHDC7B
HLA-E,PCDHAC2
HLA-DMB,E2F3P1
P2RY8,KRT18
ZEB1,GPR171
RASGRP1,RAB39A
PPP1R18,CTSL
PRRX2,GPR82
NTF3,TNFSF8
GIMAP6,GRHL3
GAS1,AC006449.2
Z83844.2,AC093829.1
KLHDC7B,TMC6
MMP25-AS1,NKG7
AC105265.1,NHS
MEST,PTPN22
ITGA4,CCR4
CDH4,CYP26A1
AL035425.4,SLAMF8
BTK,AOAH
TRG-AS1,DGKQ
ZNF90,BOC
CD96,CDH4
ADGRL3,CLEC1A
AL360181.2,HLA-DOA
SMPD5,AL844892.2
SLAMF7,SLFN5
AC083837.1,ACSM5
ZDHHC15,PAXX
GMIP,AP001453.4
GALK1,APOL6
TMIGD2,IRF1-AS1
HCST,LINC02000
TCF3P1,MAP3K14
AC241377.4,AC108935.1
UBE2QL1,MIR3142HG
EVL,KLRD1
CD3G,POU2F2
KRT8P3,RAPGEF1
IFNG,TENT5C
GPM6A,GPR174
ITGA1,AL360181.2
FCGR1A,ATP10A
LINC01988,TMEM171
GAPDHP35,PPARGC1A
KCNMB1,HAPLN3
PSMB8-AS1,AC004687.1
MCOLN2,NFIB
ARHGAP22,MSC-AS1
GFRA1,ANK3
C19orf38,CPXM2
AL691449.1,LINC00996
AC069120.1,HIC1
PCDHAC2,SNTG2
ANOS1,STOX2
PLCB2,SLC7A5P1
TP63,PALD1
CTSL,AL132642.1
VAMP1,BNIP5
HLA-G,RFX5
ZNRF3-AS1,EGFR
TMEM171,HGD
NFKBIE,HLA-H
AC018638.1,ELOA3C
LGALS2,SLAMF6
HOPX,C1QA
ANKRD6,LINC02316
LAMB1,RIMS3
LINC02605,LINC02325
ISLR,LIMK1
AC074135.1,AL592295.1
CCDC158,DPF3
AC008875.3,AC008875.3
GRB10,ZBED2
RASSF8,INPP4A
ITGB7,COL5A1
MAFB,TRGV2
ZNF135,C19orf38
AL021707.6,GALK1
IL22RA2,BTN3A2
PAX5,PTGS1
HSPA7,CASP1
F13A1,CEACAM21
EPSTI1,LILRP2
GPR55,AL627171.2
AC113615.2,RTP4
AC090152.1,AC022034.3
GZMH,USF1
BATF2,AC124319.3
MT1G,AL122058.1
SEPTIN3,FMO2
SLC7A5P1,HLA-C
ID2,PDE1B
WIPF1,EEF1A1P14
AC108448.3,COL6A1
IGHM,HPGD
NOD2,BCL11B
AL157895.2,DOK7
PIM1,SMPD5
GIMAP1,LINC02694
CD80,CMTM3
AL359532.1,IER5
PRKD1,ACAA2
AC018755.4,VIL1
FCGR1B,SH2D1A
AC021188.1,IKBKE
ADAMTS19,JAML
ELOA3C,CSF1R
RAB39A,GDPD4
AC079753.2,IL2RG
AC004847.1,CD33
AC027251.1,KCNAB2
HS3ST3B1,ITGA4
RGS16,GNAL
FAM107A,TCIRG1
SLAMF1,DUSP2
AL355097.1,MIR155HG
AL591441.1,CR381653.1
ARRDC5,AC012645.4
PDZK1IP1,SLC5A3
ARID5A,AC087477.2
SORCS2,ITK
RASGRP2,LRRC17
HOXB4,FXYD5
AC245884.7,HLA-DRB1
GPR25,AL499616.1
KIRREL3,SP140
NUDT10,SLA2
C11orf21,SCML4
MUC13,ABCD1
RNU6-392P,IL23R
SCN2B,GPR141
AC012645.4,AC015911.11
AL391560.2,PRDM1
PIK3AP1,ZNF135
LCK,KCNN2
LMCD1,CNST
AC108935.1,SGPP1
SPOCK3,CXCL9
AHRR,SPRR2C
GAPT,CD96
NAIP,NUDT12
OR2I1P,MSC
HLA-F,AL359532.1
VWDE,PDGFB
TRBC1,ZBTB21
TMEM176A,PHYHD1
FAM157B,AC004865.2
MS4A2,PER1
AP001453.4,NRXN3
PRKCQ,WIPF1
AC084816.1,PLEKHA5
PDE1B,CD80
AC139769.1,ATP6V1G1P6
AC243960.1,IRF1
TNFRSF14,AL603783.1
AC067945.1,CD28
LAMA3,RBM26-AS1
ADAM19,LINC02611
ADGRB1,SLC16A12
C11orf96,FUOM
WDFY4,ARHGAP9
CMTM3,PSMB9
MLKL,AC027251.1
MYO9B,AC105749.1
ZBED2,CCL5
CR381653.1,AGAP2
LIMK1,SLCO4A1
AC007681.1,AC011447.3
GATA2,ADA
CLIP2,AL022316.1
PAXX,EPOP
MICAL1,ZNF626
CASP1,LSP1P4
FAM30A,ADGRG5
ADA,EGFL6
TIGIT,AC015911.7
UAP1L1,TEP1
EPHA10,NTN1
TNIP2,AC018638.1
KIR3DL2,C11orf96
AF131215.2,SERPING1
TNFSF8,DENND4B
SH2D1A,MICB
AC010329.1,PRKD1
BOC,BRINP1
RAPGEF1,CYLD
TCF7L1,FCRL6
E2F3P1,AL391560.2
TSHZ2,BTK
GDPD4,DPY19L2P4
UBA7,AL035425.4
RTP4,CXCR2P1
KCNA3,SPRR2E
IL18BP,AC022201.1
PEAK3,OVOL1
SH2D3C,ZNRF3-AS1
AL445471.1,SLC24A3
SH3BP1,CNNM1
LSP1P4,ZEB1
NPPC,GPM6B
DAB1,IQCJ-SCHIP1
TRAPPC5,AL354754.1
GBP1P1,DHCR7
IDO2,SIGLEC1
OLFM1,AC002546.1
INPP4A,MAP7D1
NLRC5,GOLGA5P1
FAT4,RNASET2
ZNF208,ARL4A
IL2RG,CU639417.1
PGAP1,AC131235.4
FABP6-AS1,PPP1R12C
KLHL14,SMG5
AC011471.3,ADGRB1
AC004865.2,AL353807.5
RN7SL336P,TRAJ38
YWHAEP1,AC087521.2
ARID3A,HSD17B12
CD37,AC046185.3
APOBR,AC104805.1
AC117464.1,RFLNB
TRGV3,AC004847.1
GPR78,LY9
AC093151.2,ZSCAN1
AC105749.1,CLIC2
PSMB9,XAF1
AC004687.1,MIR4767
GNG2,TRG-AS1
AOAH,AC007608.3
TOMM40L,CXorf21
AC002511.1,CCDC9B
SBNO2,MOCS1
TNFRSF4,IL4I1
